name,state,alias
Mackinac Island South Heaven,MI,
Mount Morris,MI,
New Haven,MI,
River Rouge,MI,
Saint Louis,MI,
Vandailia,MI,
Beverly Hills,MO,
Hayti Heights,MO,
Hillsdale,MO,
Kinloch,MO,
Meacham Park,MO,
Norwood,MO,
Pembroke,MO,
Pinhook,MO,
Velda City,MO,
Velda Village Hills,MO,
Wellston,MO,
Wilson City,MO,
Winstonville,MO,
[Duplicate] Kinloch,MO,
[Duplicate] Velda Hills Village,MO,
Ackerman,MS,
Alligator,MS,
Artesia,MS,
Beaulah,MS,
Benoit,MS,
Boyle,MS,
Byhalia,MS,
Calhoun City,MS,
Carrollton,MS,
Coahoma,MS,
Como,MS,
Courtland,MS,
Crawford,MS,
Crenshaw,MS,
Crosby,MS,
Crowder,MS,
Darling,MS,
Derma,MS,
Doddsville,MS,
Drew,MS,
Duncan,MS,
Eupora,MS,
Falcon,MS,
Farrell,MS,
Friars Point,MS,
Gunnison,MS,
Holcomb,MS,
Houston,MS,
Inverness,MS,
Itta Bena,MS,
Jonestown,MS,
Lambert,MS,
Lula,MS,
Maben,MS,
Macon,MS,
Marks,MS,
Mississippi State,MS,
Moorhead,MS,
Morgan City,MS,
Mound Bayou,MS,
Nettleton,MS,
North Carrollton,MS,
North Tunica,MS,
Okolona,MS,
Pace,MS,
Plantersville,MS,
Potts Camp,MS,
Renova,MS,
Rosedale,MS,
Ruleville,MS,
Sardis,MS,
Shannon,MS,
Shaw,MS,
Shelby,MS,
Sherman,MS,
Shuqualak,MS,
Sidon,MS,
Sledge,MS,
Sunflower,MS,
Tunica,MS,
Tunica Resorts,MS,
Union,MS,
Verona,MS,
Walls,MS,
Walnut Grove,MS,
Weir,MS,
Winstonville,MS,
Woodland,MS,
Woodville,MS,
brooksville,MS,
Ansonville,NC,
Bowmore,NC,
Butters,NC,
Cofield,NC,
East Arcadia,NC,
East Spencer,NC,
Ellerbe,NC,
Enfield,NC,
Garysburg,NC,
Greenevers,NC,
Hassell,NC,
James City,NC,
Kingstown,NC,
Mesic,NC,
Morven,NC,
Navassa,NC,
Oak City,NC,
Oberlin Village,NC,
Parmele,NC,
Princeville,NC,
Roanoke Island,NC,
Robersonville,NC,
Roboxel,NC,
Roper,NC,
Seaboard,NC,
Sedalia,NC,
Silver City,NC,
South Weldon,NC,
Speed,NC,
Weldon,NC,
Whitakers,NC,
White Oak,NC,
Elwood,NJ,
Fettersville,NJ,
Gouldtown,NJ,
Lawnside,NJ,
Marshalltown,NJ,
Seabrook Farms,NJ,
Skunk Hollow,NJ,
Springtown,NJ,
Timbuctoo,NJ,
Voorhees,NJ,
Voorhes,NJ,
Whitesboro,NJ,
Woodbine,NJ,
Woodlynne,NJ,
Altona,NY,
Arlington,NY,
Calcium,NY,
Dannemora,NY,
Felt Mills,NY,
Felts Mills,NY,
Hudson,NY,
Monicello,NY,
Monticello,NY,
Morrisville,NY,
Northhampton,NY,
Riverside,NY,
Riverside CDP,NY,
Sodus,NY,
Vails Gate,NY,
Weeksville,NY,
Drexel,OH,
Forest Park,OH,
Lincoln Hieghts,OH,
Maplewood,OH,
North College Hill,OH,
Oakwood,OH,
Pleasant Hill,OH,
Silverton,OH,
Sliverton,OH,
Twinsburg Heights,OH,
UrbanCrest,OH,
Walnut Hills,OH,
Woodlawn,OH,
Arcadia,OK,
Boley,OK,
Boynton,OK,
Brooksville,OK,
Clearview,OK,
Coyle,OK,
Fort Coffee,OK,
Gideon,OK,
Ixl,OK,
Langston,OK,
Lima,OK,
Meridian,OK,
Ratliff City,OK,
Redbird,OK,
Rentiesville,OK,
Slick,OK,
Spencer,OK,
Stidham,OK,
Summit,OK,
Taft,OK,
Tatums,OK,
Tullahassee,OK,
Braddock,PA,
Buffington,PA,
Colwyn,PA,
Farrell,PA,
Homestead,PA,
Magnolia,PA,
Marienville,PA,
Rankin,PA,
Wheatland,PA,
Wilmerding,PA,
Melville,RI,
Atlantic Beach,SC,
Bishopville,SC,
Blackville,SC,
Bowman,SC,
Daufuskie Island,SC,
Estill,SC,
Eureka Mill,SC,
Furman,SC,
Greeleyville,SC,
Hopkins,SC,
Johnston,SC,
Kingstree,SC,
Lane,SC,
Lincolnville,SC,
Lydia,SC,
Lynchburg,SC,
Mitchelville,SC,
Scotia,SC,
Sellers,SC,
Shiloh,SC,
Summerton,SC,
Timmonsville,SC,
Wagener,SC,
Waterloo,SC,
Free Hill,TN,
Ames,TX,
Calvert,TX,
Caney City,TX,
Clarksville,TX,
Corrigan,TX,
Cuney,TX,
Easton,TX,
Goodlow,TX,
Hearne,TX,
Hubbard,TX,
Jefferson,TX,
Kendleton,TX,
Ladonia,TX,
Moore Station,TX,
Nesbitt,TX,
New Waverly,TX,
Neylandville,TX,
Pelham,TX,
Sandbranch,TX,
Seven Oaks,TX,
Toco,TX,
Alberta,VA,
Appomattox,VA,
Arrington,VA,
Bassett,VA,
Bayside,VA,
Blackstone,VA,
Boston,VA,Culpeper County
Boydton,VA,
Boykins,VA,
Branchville,VA,
Brodnax,VA,
Brookneal,VA,
Burkeville,VA,
Camptown,VA,
Cape Charles,VA,
Cat's Bridge,VA,
Charlotte Court House,VA,
Chase City,VA,
Cheriton,VA,
Clarksville,VA,
Clover,VA,
Columbia,VA,
Courtland,VA,
Delmar,VA,
Dendron,VA,
Dillwyn,VA,
Esmont,VA,
Exmore,VA,
Fairview,VA,Northampton County
Ferrum,VA,
Gordonsville,VA,
Gretna,VA,
Horntown,VA,
Kenbridge,VA,
Keysville,VA,
Kilmarnock,VA,
Lawrenceville,VA,
Lovingston,VA,
Low Moor,VA,
Makemie Park,VA,
Mappsville,VA,
Matthews,VA,
Metompkin,VA,
Mount Olive,VA,
Mountain Road,VA,
Nassawadox,VA,
Nelsonia,VA,
Onancock,VA,
Pastoria,VA,
Pocahontas Island,VA,
Port Royal,VA,
Pungoteague,VA,
Riverdale,VA,
Rushmere,VA,
Tappahannock,VA,
Tasley,VA,
Temperanceville,VA,
Thynedale,VA,
Victoria,VA,
Wakefield,VA,
Warfield,VA,
Waverly,VA,
Whitesville,VA,
drakes branch,VA,
Beloit,WI,
Brown Deer,WI,
Madison,WI,
West Milwaukee,WI,
Amherstdale,WV,
Baxter,WV,
Beards Fork/Robson,WV,
Beckley,WV,
Bud,WV,
Gary,WV,
Glen Jean,WV,
Keystone,WV,
Kimball,WV,
Maybeury,WV,
Monterville,WV,
Mt Olive,WV,
Northfork,WV,
Pinch,WV,
Rand,WV,
Snowshoe,WV,
Welch,WV,
